symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
APTUSDT,2025-05-12 02:00:00,0.4471367,0,1,6.036,6.065,-0.004804506295560107
APTUSDT,2025-05-12 03:00:00,0.4627496,0,0,6.065,6.011,0.008903544929925847
APTUSDT,2025-05-12 04:00:00,0.49558777,0,1,6.011,6.065,-0.008983530194643199
APTUSDT,2025-05-12 05:00:00,0.46476084,0,0,6.065,5.984,0.013355317394888771
APTUSDT,2025-05-12 06:00:00,0.5578919,1,1,5.984,6.083,0.01654411764705886
APTUSDT,2025-05-12 07:00:00,0.44757572,0,0,6.083,6.042,0.006740095347690345
APTUSDT,2025-05-12 08:00:00,0.4729099,0,0,6.042,5.91,0.021847070506454763
APTUSDT,2025-05-12 09:00:00,0.536392,1,0,5.91,5.859,-0.008629441624365509
APTUSDT,2025-05-12 10:00:00,0.5979099,1,1,5.859,5.943,0.014336917562723952
APTUSDT,2025-05-12 11:00:00,0.5030783,0,0,5.943,5.874,0.011610297829379094
APTUSDT,2025-05-12 12:00:00,0.5230635,1,0,5.874,5.724,-0.02553626149131758
APTUSDT,2025-05-12 13:00:00,0.61458856,1,1,5.724,5.821,0.016946191474493277
APTUSDT,2025-05-12 14:00:00,0.5372274,1,1,5.821,5.833,0.002061501460230279
APTUSDT,2025-05-12 15:00:00,0.4830696,0,1,5.833,5.851,-0.00308589062232124
APTUSDT,2025-05-12 16:00:00,0.44823682,0,1,5.851,5.859,-0.0013672876431379264
APTUSDT,2025-05-12 17:00:00,0.46406284,0,0,5.859,5.848,0.0018774534903567368
APTUSDT,2025-05-12 18:00:00,0.4874434,0,0,5.848,5.736,0.019151846785225735
APTUSDT,2025-05-12 19:00:00,0.60548437,1,0,5.736,5.686,-0.008716875871687556
APTUSDT,2025-05-12 20:00:00,0.6122259,1,0,5.686,5.59,-0.01688357368976435
APTUSDT,2025-05-12 21:00:00,0.62518364,1,0,5.59,5.526,-0.011449016100178901
APTUSDT,2025-05-12 22:00:00,0.68235505,1,1,5.526,5.651,0.022620340209916757
