symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
DOTUSDT,2025-05-12 02:00:00,0.44759214,0,1,5.269,5.291,-0.0041753653444676865
DOTUSDT,2025-05-12 03:00:00,0.4090492,0,0,5.291,5.229,0.01171801171801177
DOTUSDT,2025-05-12 04:00:00,0.49568206,0,1,5.229,5.245,-0.003059858481545231
DOTUSDT,2025-05-12 05:00:00,0.47230557,0,0,5.245,5.2,0.008579599618684448
DOTUSDT,2025-05-12 06:00:00,0.54704344,1,1,5.2,5.321,0.02326923076923068
DOTUSDT,2025-05-12 07:00:00,0.48386854,0,0,5.321,5.293,0.0052621687652696075
DOTUSDT,2025-05-12 08:00:00,0.47625333,0,0,5.293,5.131,0.03060646136406573
DOTUSDT,2025-05-12 09:00:00,0.53486407,1,0,5.131,5.107,-0.0046774507893198244
DOTUSDT,2025-05-12 10:00:00,0.5564605,1,1,5.107,5.15,0.00841981593890741
DOTUSDT,2025-05-12 11:00:00,0.523441,1,0,5.15,5.103,-0.009126213592233125
DOTUSDT,2025-05-12 12:00:00,0.5095709,0,0,5.103,4.981,0.02390750538898685
DOTUSDT,2025-05-12 13:00:00,0.61571,1,1,4.981,5.048,0.013451114234089574
DOTUSDT,2025-05-12 14:00:00,0.5410967,1,1,5.048,5.087,0.007725832012678229
DOTUSDT,2025-05-12 15:00:00,0.4641743,0,1,5.087,5.088,-0.00019657951641445528
DOTUSDT,2025-05-12 16:00:00,0.4877185,0,0,5.088,5.085,0.0005896226415094563
DOTUSDT,2025-05-12 17:00:00,0.535375,1,0,5.085,5.068,-0.0033431661750246504
DOTUSDT,2025-05-12 18:00:00,0.4805275,0,0,5.068,4.983,0.016771902131018146
DOTUSDT,2025-05-12 19:00:00,0.588278,1,0,4.983,4.943,-0.008027292795504723
DOTUSDT,2025-05-12 20:00:00,0.6086011,1,0,4.943,4.875,-0.013756827837345664
DOTUSDT,2025-05-12 21:00:00,0.6409815,1,0,4.875,4.842,-0.006769230769230843
DOTUSDT,2025-05-12 22:00:00,0.61849314,1,1,4.842,4.937,0.01961999173895098
DOTUSDT,2025-05-12 23:00:00,0.51787776,1,1,4.937,4.942,0.0010127607859023481
DOTUSDT,2025-05-13 00:00:00,0.5271001,1,1,4.942,4.948,0.0012140833670579172
DOTUSDT,2025-05-13 01:00:00,0.5363518,1,1,4.948,4.971,0.004648342764753372
DOTUSDT,2025-05-13 02:00:00,0.50116444,0,0,4.971,4.96,0.0022128344397505774
DOTUSDT,2025-05-13 03:00:00,0.48650956,0,1,4.96,5.035,-0.015120967741935519
DOTUSDT,2025-05-13 04:00:00,0.48817116,0,0,5.035,5.01,0.0049652432969216195
DOTUSDT,2025-05-13 05:00:00,0.5323034,1,0,5.01,5.004,-0.0011976047904192072
DOTUSDT,2025-05-13 06:00:00,0.49112877,0,1,5.004,5.026,-0.004396482813749049
DOTUSDT,2025-05-13 07:00:00,0.4513215,0,1,5.026,5.036,-0.001989653800238716
DOTUSDT,2025-05-13 08:00:00,0.4724623,0,0,5.036,4.991,0.00893566322478156
DOTUSDT,2025-05-13 09:00:00,0.4818011,0,1,4.991,5.044,-0.010619114405930663
DOTUSDT,2025-05-13 10:00:00,0.45179948,0,1,5.044,5.093,-0.009714512291831954
DOTUSDT,2025-05-13 11:00:00,0.44179243,0,1,5.093,5.14,-0.00922835264087958
DOTUSDT,2025-05-13 12:00:00,0.45050728,0,1,5.14,5.172,-0.006225680933852146
DOTUSDT,2025-05-13 13:00:00,0.47250035,0,1,5.172,5.211,-0.007540603248259975
DOTUSDT,2025-05-13 14:00:00,0.48871514,0,0,5.211,5.209,0.0003838034926119109
DOTUSDT,2025-05-13 15:00:00,0.41899502,0,0,5.209,5.195,0.00268765598003443
DOTUSDT,2025-05-13 16:00:00,0.50020254,0,0,5.195,5.188,0.001347449470644959
DOTUSDT,2025-05-13 17:00:00,0.5120295,1,1,5.188,5.195,0.0013492675404781344
DOTUSDT,2025-05-13 18:00:00,0.4674926,0,1,5.195,5.223,-0.005389797882579322
DOTUSDT,2025-05-13 19:00:00,0.46353608,0,0,5.223,5.196,0.005169442848937418
DOTUSDT,2025-05-13 20:00:00,0.51332515,1,0,5.196,5.185,-0.0021170130869900155
DOTUSDT,2025-05-13 21:00:00,0.5331259,1,1,5.185,5.195,0.0019286403085825798
DOTUSDT,2025-05-13 22:00:00,0.48847583,0,1,5.195,5.22,-0.004812319538017222
DOTUSDT,2025-05-13 23:00:00,0.47588512,0,1,5.22,5.233,-0.0024904214559386783
