symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
ETHUSDT,2025-05-11 14:00:00,0.9027296,1,1,2486.05,2462.51,-0.0094688361054685
ETHUSDT,2025-05-11 15:00:00,0.9706297,1,1,2462.51,2470.79,0.0033624228937140337
ETHUSDT,2025-05-11 16:00:00,0.96035504,1,1,2470.79,2491.45,0.008361698080370997
ETHUSDT,2025-05-11 17:00:00,0.69113374,1,1,2491.45,2504.7,0.0053181882036565055
ETHUSDT,2025-05-11 18:00:00,0.5737889,1,1,2504.7,2508.02,0.0013255080448756993
ETHUSDT,2025-05-11 19:00:00,0.8841898,1,1,2508.02,2509.91,0.0007535825073164778
ETHUSDT,2025-05-11 20:00:00,0.53329086,1,0,2509.91,2517.02,0.0028327708961676428
ETHUSDT,2025-05-11 21:00:00,0.3231251,0,1,2517.02,2503.51,0.005367458343596699
ETHUSDT,2025-05-11 22:00:00,0.8621195,1,1,2503.51,2514.57,0.004417797412432922
ETHUSDT,2025-05-11 23:00:00,0.5407642,1,1,2514.57,2531.66,0.006796390635376899
ETHUSDT,2025-05-12 00:00:00,0.026792927,0,0,2531.66,2505.45,0.010352890988521381
ETHUSDT,2025-05-12 01:00:00,0.80750644,1,1,2505.45,2522.85,0.006944860204753674
ETHUSDT,2025-05-12 02:00:00,0.7554871,1,1,2522.85,2520.0,-0.0011296747725785953
ETHUSDT,2025-05-12 03:00:00,0.882637,1,1,2520.0,2518.49,-0.0005992063492064358
ETHUSDT,2025-05-12 04:00:00,0.9578498,1,1,2518.49,2497.69,-0.008258917049501777
ETHUSDT,2025-05-12 05:00:00,0.9544165,1,1,2497.69,2517.69,0.008007398836524949
ETHUSDT,2025-05-12 06:00:00,0.8518663,1,1,2517.69,2554.77,0.014727786184955228
ETHUSDT,2025-05-12 07:00:00,0.19990592,0,0,2554.77,2577.55,-0.008916653945365022
ETHUSDT,2025-05-12 08:00:00,0.08901695,0,0,2577.55,2550.77,0.010389711159822389
ETHUSDT,2025-05-12 09:00:00,0.14395693,0,0,2550.77,2560.52,-0.003822375204350059
ETHUSDT,2025-05-12 10:00:00,0.043386634,0,0,2560.52,2530.59,0.011689031915392122
ETHUSDT,2025-05-12 11:00:00,0.1922082,0,0,2530.59,2549.68,-0.007543695343773464
ETHUSDT,2025-05-12 12:00:00,0.035216175,0,0,2549.68,2558.2,-0.003341595808101402
