symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
FETUSDT,2025-05-12 02:00:00,0.47457367,0,1,0.887,0.905,-0.02029312288613305
FETUSDT,2025-05-12 03:00:00,0.4240926,0,0,0.905,0.888,0.01878453038674035
FETUSDT,2025-05-12 04:00:00,0.52257305,0,1,0.888,0.894,-0.006756756756756762
FETUSDT,2025-05-12 05:00:00,0.4383996,0,0,0.894,0.873,0.023489932885906062
FETUSDT,2025-05-12 06:00:00,0.58748084,0,1,0.873,0.892,-0.021764032073310444
FETUSDT,2025-05-12 07:00:00,0.43713626,0,0,0.892,0.879,0.014573991031390147
FETUSDT,2025-05-12 08:00:00,0.51559585,0,0,0.879,0.849,0.034129692832764534
FETUSDT,2025-05-12 09:00:00,0.5189366,0,0,0.849,0.847,0.0023557126030624284
FETUSDT,2025-05-12 10:00:00,0.56859994,0,1,0.847,0.858,-0.012987012987012998
FETUSDT,2025-05-12 11:00:00,0.50266886,0,0,0.858,0.844,0.016317016317016333
FETUSDT,2025-05-12 12:00:00,0.49821693,0,0,0.844,0.819,0.02962085308056875
FETUSDT,2025-05-12 13:00:00,0.61524653,0,1,0.819,0.829,-0.012210012210012222
FETUSDT,2025-05-12 14:00:00,0.5430882,0,1,0.829,0.835,-0.007237635705669488
FETUSDT,2025-05-12 15:00:00,0.54990935,0,0,0.835,0.834,0.0011976047904191627
FETUSDT,2025-05-12 16:00:00,0.528146,0,0,0.834,0.831,0.0035971223021582766
FETUSDT,2025-05-12 17:00:00,0.55596185,0,0,0.831,0.831,0.0
FETUSDT,2025-05-12 18:00:00,0.5057781,0,0,0.831,0.815,0.01925391095066187
FETUSDT,2025-05-12 19:00:00,0.62478,0,0,0.815,0.802,0.015950920245398653
FETUSDT,2025-05-12 20:00:00,0.64943427,0,0,0.802,0.795,0.008728179551122203
FETUSDT,2025-05-12 21:00:00,0.5889519,0,0,0.795,0.793,0.0025157232704402536
FETUSDT,2025-05-12 22:00:00,0.54816025,0,1,0.793,0.808,-0.018915510718789424
FETUSDT,2025-05-12 23:00:00,0.5352887,0,0,0.808,0.805,0.0037128712871287157
FETUSDT,2025-05-13 00:00:00,0.5428755,0,1,0.805,0.808,-0.0037267080745341644
FETUSDT,2025-05-13 01:00:00,0.49638644,0,1,0.808,0.814,-0.007425742574257294
FETUSDT,2025-05-13 02:00:00,0.47970808,0,0,0.814,0.814,0.0
FETUSDT,2025-05-13 03:00:00,0.4713619,0,1,0.814,0.825,-0.013513513513513526
FETUSDT,2025-05-13 04:00:00,0.44272575,0,0,0.825,0.816,0.010909090909090919
FETUSDT,2025-05-13 05:00:00,0.47812077,0,0,0.816,0.813,0.0036764705882352975
FETUSDT,2025-05-13 06:00:00,0.48016548,0,1,0.813,0.835,-0.027060270602706053
FETUSDT,2025-05-13 07:00:00,0.47895184,0,1,0.835,0.843,-0.009580838323353302
FETUSDT,2025-05-13 08:00:00,0.4723277,0,0,0.843,0.834,0.010676156583629902
FETUSDT,2025-05-13 09:00:00,0.5308776,0,1,0.834,0.841,-0.008393285371702646
FETUSDT,2025-05-13 10:00:00,0.4681591,0,1,0.841,0.851,-0.011890606420927478
FETUSDT,2025-05-13 11:00:00,0.4592909,0,1,0.851,0.854,-0.0035252643948296154
FETUSDT,2025-05-13 12:00:00,0.43195993,0,1,0.854,0.863,-0.01053864168618268
FETUSDT,2025-05-13 13:00:00,0.40982547,0,1,0.863,0.883,-0.023174971031286233
FETUSDT,2025-05-13 14:00:00,0.42981282,0,1,0.883,0.892,-0.010192525481313712
FETUSDT,2025-05-13 15:00:00,0.44659388,0,0,0.892,0.892,0.0
FETUSDT,2025-05-13 16:00:00,0.45963344,0,1,0.892,0.894,-0.002242152466367715
FETUSDT,2025-05-13 17:00:00,0.44771364,0,0,0.894,0.892,0.002237136465324387
FETUSDT,2025-05-13 18:00:00,0.5028617,0,0,0.892,0.885,0.007847533632287003
FETUSDT,2025-05-13 19:00:00,0.5275306,0,0,0.885,0.877,0.009039548022598877
FETUSDT,2025-05-13 20:00:00,0.48463225,0,0,0.877,0.877,0.0
FETUSDT,2025-05-13 21:00:00,0.4618399,0,0,0.877,0.874,0.0034207525655644273
FETUSDT,2025-05-13 22:00:00,0.5403918,0,1,0.874,0.877,-0.0034324942791762046
FETUSDT,2025-05-13 23:00:00,0.5043099,0,1,0.877,0.884,-0.007981755986316997
FETUSDT,2025-05-14 00:00:00,0.51011187,0,0,0.884,0.88,0.004524886877828058
FETUSDT,2025-05-14 01:00:00,0.5105866,0,0,0.88,0.861,0.02159090909090911
FETUSDT,2025-05-14 02:00:00,0.53149307,0,0,0.861,0.842,0.022067363530778185
FETUSDT,2025-05-14 03:00:00,0.6462519,0,1,0.842,0.847,-0.0059382422802850415
FETUSDT,2025-05-14 04:00:00,0.5388017,0,0,0.847,0.844,0.003541912632821727
FETUSDT,2025-05-14 05:00:00,0.54886496,0,1,0.844,0.85,-0.0071090047393364995
FETUSDT,2025-05-14 06:00:00,0.44754615,0,0,0.85,0.844,0.007058823529411771
FETUSDT,2025-05-14 07:00:00,0.5335676,0,0,0.844,0.841,0.0035545023696682498
FETUSDT,2025-05-14 08:00:00,0.46584806,0,0,0.841,0.83,0.013079667063020226
