symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
SOLUSDT,2025-05-12 02:00:00,0.52974826,0,1,176.09,176.56,-0.002669089670055079
SOLUSDT,2025-05-12 03:00:00,0.47234878,0,0,176.56,175.68,0.004984141368373332
SOLUSDT,2025-05-12 04:00:00,0.5034626,0,1,175.68,175.97,-0.0016507285974498636
SOLUSDT,2025-05-12 05:00:00,0.4886551,0,0,175.97,174.11,0.010569983519918084
SOLUSDT,2025-05-12 06:00:00,0.5118661,0,1,174.11,176.38,-0.013037734765378103
SOLUSDT,2025-05-12 07:00:00,0.46181193,0,1,176.38,179.31,-0.016611860755187703
SOLUSDT,2025-05-12 08:00:00,0.46753237,0,0,179.31,175.84,0.019351960292231324
SOLUSDT,2025-05-12 09:00:00,0.5132073,0,0,175.84,174.4,0.008189262966333016
SOLUSDT,2025-05-12 10:00:00,0.4747416,0,1,174.4,175.96,-0.00894495412844038
SOLUSDT,2025-05-12 11:00:00,0.48941532,0,0,175.96,172.11,0.02187997272107294
SOLUSDT,2025-05-12 12:00:00,0.6475703,1,0,172.11,170.44,-0.00970309685666153
SOLUSDT,2025-05-12 13:00:00,0.61263055,0,1,170.44,171.22,-0.004576390518657599
SOLUSDT,2025-05-12 14:00:00,0.5597732,0,1,171.22,172.27,-0.0061324611610793795
SOLUSDT,2025-05-12 15:00:00,0.4391992,0,1,172.27,172.69,-0.002438033319788631
SOLUSDT,2025-05-12 16:00:00,0.4421192,0,1,172.69,173.71,-0.005906537726562107
SOLUSDT,2025-05-12 17:00:00,0.42916137,0,1,173.71,174.22,-0.0029359276955845427
SOLUSDT,2025-05-12 18:00:00,0.49205455,0,0,174.22,171.69,0.014521868901389056
SOLUSDT,2025-05-12 19:00:00,0.5570686,0,0,171.69,171.06,0.00366940415865802
SOLUSDT,2025-05-12 20:00:00,0.569496,0,0,171.06,169.01,0.01198409914649837
SOLUSDT,2025-05-12 21:00:00,0.5991456,0,0,169.01,166.97,0.012070291698716006
SOLUSDT,2025-05-12 22:00:00,0.6510312,1,1,166.97,169.89,0.017488171527819295
SOLUSDT,2025-05-12 23:00:00,0.5425224,0,0,169.89,169.83,0.0003531696980397543
SOLUSDT,2025-05-13 00:00:00,0.5360123,0,1,169.83,171.16,-0.00783136077253715
SOLUSDT,2025-05-13 01:00:00,0.44240797,0,1,171.16,171.49,-0.0019280205655527723
SOLUSDT,2025-05-13 02:00:00,0.48544994,0,1,171.49,172.54,-0.006122805994518531
SOLUSDT,2025-05-13 03:00:00,0.4910874,0,1,172.54,173.73,-0.006896951431552091
SOLUSDT,2025-05-13 04:00:00,0.49569273,0,1,173.73,174.06,-0.001899499222932208
SOLUSDT,2025-05-13 05:00:00,0.46223527,0,0,174.06,174.0,0.0003447087211306577
SOLUSDT,2025-05-13 06:00:00,0.4602549,0,1,174.0,174.21,-0.0012068965517241838
SOLUSDT,2025-05-13 07:00:00,0.3751908,0,1,174.21,174.35,-0.0008036278055219928
SOLUSDT,2025-05-13 08:00:00,0.33442435,0,0,174.35,173.26,0.006251792371666208
SOLUSDT,2025-05-13 09:00:00,0.5100109,0,1,173.26,176.09,-0.0163338335449614
SOLUSDT,2025-05-13 10:00:00,0.4409769,0,1,176.09,176.59,-0.0028394570958032825
SOLUSDT,2025-05-13 11:00:00,0.4528835,0,1,176.59,178.32,-0.00979670423013755
SOLUSDT,2025-05-13 12:00:00,0.4426287,0,1,178.32,179.07,-0.004205921938088829
SOLUSDT,2025-05-13 13:00:00,0.43074527,0,1,179.07,182.05,-0.01664153682917305
SOLUSDT,2025-05-13 14:00:00,0.38035107,0,1,182.05,183.13,-0.005932436143916419
SOLUSDT,2025-05-13 15:00:00,0.40256616,0,0,183.13,182.71,0.0022934527384917136
SOLUSDT,2025-05-13 16:00:00,0.49768335,0,1,182.71,182.94,-0.0012588254611131835
SOLUSDT,2025-05-13 17:00:00,0.50576097,0,1,182.94,183.75,-0.004427681206953112
SOLUSDT,2025-05-13 18:00:00,0.48126826,0,0,183.75,182.09,0.009034013605442159
SOLUSDT,2025-05-13 19:00:00,0.5127933,0,1,182.09,182.88,-0.004338513921687034
SOLUSDT,2025-05-13 20:00:00,0.46510005,0,0,182.88,180.48,0.013123359580052524
SOLUSDT,2025-05-13 21:00:00,0.5433976,0,0,180.48,180.28,0.0011081560283687313
SOLUSDT,2025-05-13 22:00:00,0.5455538,0,1,180.28,181.65,-0.007599289993343712
SOLUSDT,2025-05-13 23:00:00,0.5038388,0,1,181.65,182.8,-0.006330856041838732
SOLUSDT,2025-05-14 00:00:00,0.46257076,0,1,182.8,183.7,-0.0049234135667394815
SOLUSDT,2025-05-14 01:00:00,0.44435555,0,0,183.7,181.72,0.0107784431137724
SOLUSDT,2025-05-14 02:00:00,0.53146625,0,0,181.72,178.45,0.017994717147259576
SOLUSDT,2025-05-14 03:00:00,0.55950636,0,1,178.45,179.79,-0.007509106192210723
SOLUSDT,2025-05-14 04:00:00,0.4996375,0,0,179.79,179.39,0.002224817843039133
SOLUSDT,2025-05-14 05:00:00,0.5364308,0,1,179.39,181.06,-0.009309326049389688
SOLUSDT,2025-05-14 06:00:00,0.47166154,0,0,181.06,180.28,0.0043079642107588705
SOLUSDT,2025-05-14 07:00:00,0.49842647,0,0,180.28,178.94,0.007432882183270487
SOLUSDT,2025-05-14 08:00:00,0.5842773,0,0,178.94,176.99,0.010897507544428236
SOLUSDT,2025-05-14 09:00:00,0.5783472,0,1,176.99,177.35,-0.0020340132210858535
SOLUSDT,2025-05-14 10:00:00,0.5878505,0,0,177.35,175.94,0.007950380603326736
SOLUSDT,2025-05-14 11:00:00,0.6334775,1,0,175.94,175.88,-0.00034102534955099623
SOLUSDT,2025-05-14 12:00:00,0.5508167,0,1,175.88,176.68,-0.004548555833522921
SOLUSDT,2025-05-14 13:00:00,0.47349223,0,1,176.68,177.06,-0.0021507810731265305
SOLUSDT,2025-05-14 14:00:00,0.4642843,0,0,177.06,176.82,0.001355472721111539
