symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
XRPUSDT,2025-05-12 02:00:00,0.4318001,0,1,2.4136,2.4245,-0.004516075571759989
XRPUSDT,2025-05-12 03:00:00,0.44322935,0,0,2.4245,2.4207,0.001567333470818736
XRPUSDT,2025-05-12 04:00:00,0.46863434,0,1,2.4207,2.4346,-0.005742140703102418
XRPUSDT,2025-05-12 05:00:00,0.4173141,0,1,2.4346,2.449,-0.005914729318984534
XRPUSDT,2025-05-12 06:00:00,0.4635069,0,1,2.449,2.561,-0.045732952225398166
XRPUSDT,2025-05-12 07:00:00,0.3989733,0,1,2.561,2.6037,-0.01667317454119483
XRPUSDT,2025-05-12 08:00:00,0.37104625,0,0,2.6037,2.5443,0.022813688212927802
XRPUSDT,2025-05-12 09:00:00,0.55308753,1,1,2.5443,2.5929,0.019101521047046505
XRPUSDT,2025-05-12 10:00:00,0.46554577,0,0,2.5929,2.5903,0.0010027382467508031
XRPUSDT,2025-05-12 11:00:00,0.5384146,1,0,2.5903,2.5633,-0.010423503069142623
XRPUSDT,2025-05-12 12:00:00,0.49552172,1,0,2.5633,2.4678,-0.037256661334997825
XRPUSDT,2025-05-12 13:00:00,0.6280123,1,1,2.4678,2.5329,0.026379771456357955
XRPUSDT,2025-05-12 14:00:00,0.47315085,0,0,2.5329,2.5299,0.0011844131232974509
XRPUSDT,2025-05-12 15:00:00,0.544846,1,1,2.5299,2.5369,0.002766907782916367
XRPUSDT,2025-05-12 16:00:00,0.4772438,0,0,2.5369,2.5298,0.0027986913161734115
XRPUSDT,2025-05-12 17:00:00,0.4612143,0,1,2.5298,2.5439,-0.005573563127519963
XRPUSDT,2025-05-12 18:00:00,0.4386105,0,0,2.5439,2.4933,0.019890718974802376
XRPUSDT,2025-05-12 19:00:00,0.49450058,0,0,2.4933,2.4701,0.009304937231781217
XRPUSDT,2025-05-12 20:00:00,0.56587255,1,0,2.4701,2.4513,-0.007611027893607607
XRPUSDT,2025-05-12 21:00:00,0.60413665,1,0,2.4513,2.43,-0.008689266919593545
XRPUSDT,2025-05-12 22:00:00,0.63396317,1,1,2.43,2.4852,0.022716049382715923
XRPUSDT,2025-05-12 23:00:00,0.4507859,0,0,2.4852,2.4851,4.023821020431633e-05
XRPUSDT,2025-05-13 00:00:00,0.5002063,1,1,2.4851,2.4991,0.005633576113637194
XRPUSDT,2025-05-13 01:00:00,0.42657015,0,0,2.4991,2.4987,0.00016005762074345004
XRPUSDT,2025-05-13 02:00:00,0.45714003,0,1,2.4987,2.4999,-0.0004802497298594741
XRPUSDT,2025-05-13 03:00:00,0.46202326,0,1,2.4999,2.5457,-0.018320732829313287
XRPUSDT,2025-05-13 04:00:00,0.46042696,0,1,2.5457,2.5528,-0.0027890167733825213
XRPUSDT,2025-05-13 05:00:00,0.4715925,0,0,2.5528,2.5344,0.007207771858351516
XRPUSDT,2025-05-13 06:00:00,0.5011743,1,1,2.5344,2.544,0.0037878787878787208
XRPUSDT,2025-05-13 07:00:00,0.5011013,1,0,2.544,2.5398,-0.0016509433962264078
XRPUSDT,2025-05-13 08:00:00,0.52331203,1,0,2.5398,2.5224,-0.006850933144342019
XRPUSDT,2025-05-13 09:00:00,0.5264734,1,1,2.5224,2.5433,0.008285759594037304
XRPUSDT,2025-05-13 10:00:00,0.5060863,1,1,2.5433,2.5516,0.0032634765855385508
XRPUSDT,2025-05-13 11:00:00,0.4985156,1,1,2.5516,2.5553,0.0014500705439723367
XRPUSDT,2025-05-13 12:00:00,0.4693321,0,1,2.5553,2.5723,-0.0066528391969631374
XRPUSDT,2025-05-13 13:00:00,0.4458945,0,1,2.5723,2.5811,-0.0034210628620302314
XRPUSDT,2025-05-13 14:00:00,0.48975837,0,1,2.5811,2.5826,-0.0005811475727401544
XRPUSDT,2025-05-13 15:00:00,0.4559138,0,0,2.5826,2.5764,0.0024006814837759472
XRPUSDT,2025-05-13 16:00:00,0.5253919,1,1,2.5764,2.5796,0.0012420431609998803
XRPUSDT,2025-05-13 17:00:00,0.4535793,0,1,2.5796,2.5829,-0.0012792681035818957
XRPUSDT,2025-05-13 18:00:00,0.4837915,0,0,2.5829,2.568,0.005768709589995708
XRPUSDT,2025-05-13 19:00:00,0.49252644,0,0,2.568,2.5643,0.0014408099688474527
XRPUSDT,2025-05-13 20:00:00,0.47544575,0,0,2.5643,2.555,0.0036267207425026877
XRPUSDT,2025-05-13 21:00:00,0.5538661,1,1,2.555,2.5571,0.0008219178082191744
XRPUSDT,2025-05-13 22:00:00,0.47617298,0,1,2.5571,2.5769,-0.007743146533182136
XRPUSDT,2025-05-13 23:00:00,0.46478578,0,1,2.5769,2.5864,-0.0036866001785089133
XRPUSDT,2025-05-14 00:00:00,0.4425701,0,1,2.5864,2.5913,-0.0018945252087844598
XRPUSDT,2025-05-14 01:00:00,0.448782,0,1,2.5913,2.6191,-0.010728205919808609
XRPUSDT,2025-05-14 02:00:00,0.42996004,0,0,2.6191,2.5697,0.01886144095299908
XRPUSDT,2025-05-14 03:00:00,0.55253077,1,1,2.5697,2.6282,0.02276530334280266
XRPUSDT,2025-05-14 04:00:00,0.4397051,0,0,2.6282,2.6031,0.00955026253709768
XRPUSDT,2025-05-14 05:00:00,0.50881124,1,1,2.6031,2.6142,0.004264146594445042
XRPUSDT,2025-05-14 06:00:00,0.48771715,0,0,2.6142,2.5926,0.008262565985769965
XRPUSDT,2025-05-14 07:00:00,0.54222697,1,0,2.5926,2.5783,-0.005515698526575631
XRPUSDT,2025-05-14 08:00:00,0.51657486,1,0,2.5783,2.5674,-0.004227591824070088
XRPUSDT,2025-05-14 09:00:00,0.48773417,0,0,2.5674,2.5616,0.0022590948040820476
XRPUSDT,2025-05-14 10:00:00,0.5534159,1,0,2.5616,2.5486,-0.005074953154278537
XRPUSDT,2025-05-14 11:00:00,0.54742134,1,1,2.5486,2.5522,0.001412540218159008
XRPUSDT,2025-05-14 12:00:00,0.5822598,1,1,2.5522,2.5626,0.004074915758953133
XRPUSDT,2025-05-14 13:00:00,0.46675122,0,1,2.5626,2.5669,-0.0016779832982126543
XRPUSDT,2025-05-14 14:00:00,0.48169884,0,0,2.5669,2.5611,0.0022595348474813218
XRPUSDT,2025-05-14 15:00:00,0.52139133,1,1,2.5611,2.5626,0.0005856858381164565
XRPUSDT,2025-05-14 16:00:00,0.48619324,0,0,2.5626,2.5491,0.005268087099040064
XRPUSDT,2025-05-14 17:00:00,0.5148966,1,1,2.5491,2.5503,0.0004707543839001482
XRPUSDT,2025-05-14 18:00:00,0.4949568,0,1,2.5503,2.5673,-0.006665882445202487
XRPUSDT,2025-05-14 19:00:00,0.49438313,0,0,2.5673,2.5243,0.016749113855022674
XRPUSDT,2025-05-14 20:00:00,0.5603554,1,1,2.5243,2.538,0.005427247157627699
XRPUSDT,2025-05-14 21:00:00,0.49235544,0,0,2.538,2.5225,0.006107171000787962
XRPUSDT,2025-05-14 22:00:00,0.56917983,1,1,2.5225,2.5291,0.002616451932606605
XRPUSDT,2025-05-14 23:00:00,0.48390493,0,0,2.5291,2.498,0.012296864497251949
XRPUSDT,2025-05-15 00:00:00,0.5500713,1,0,2.498,2.4963,-0.0006805444355484526
